"skill_id","skills","skill_count","avg_yr_sal"
8,"go","27","115320"
80,"snowflake","37","112948"
74,"azure","35","110862"
76,"aws","33","108020"
185,"looker","50","103689"
79,"oracle","38","102943"
1,"python","236","101397"
5,"r","148","100499"
182,"tableau","232","99289"
186,"sas","64","98927"
7,"sas","64","98927"
0,"sql","402","97124"
183,"power bi","111","96951"
61,"sql server","36","96294"
215,"flow","29","95369"
196,"powerpoint","58","88701"
181,"excel","257","87340"
192,"sheets","32","86088"
188,"word","48","82576"
