"skill_count","skills"
"402","sql"
"257","excel"
"236","python"
"232","tableau"
"148","r"
"128","sas"
"111","power bi"
"58","powerpoint"
"50","looker"
"48","word"
"38","oracle"
"37","snowflake"
"36","sql server"
"35","azure"
"33","aws"
"32","sheets"
"29","flow"
"27","go"
"25","spss"
"24","vba"
"22","hadoop"
"21","javascript"
"20","jira"
"18","sharepoint"
"17","java"
"17","alteryx"
"16","redshift"
"14","ssrs"
"14","bigquery"
"13","outlook"
"13","nosql"
"13","qlik"
"13","spark"
"12","ssis"
"11","c++"
"11","confluence"
"10","visio"
"10","dax"
"10","c#"
"10","databricks"
"9","pandas"
"9","sap"
"9","c"
"9","t-sql"
"9","mysql"
"8","html"
"6","bash"
"6","mongodb"
"6","ms access"
"6","spreadsheet"
